epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4999,3.27358,6.92695,1.52007,0.00093,0.30131,0.00053,0.00011,3.25069,7.9445,1.43092,0.000651515,0.000651515,0.000651515
2,61.7613,2.85731,3.84618,1.30299,0.22183,0.09531,0.05999,0.01401,3.24798,5.27495,1.58472,0.00130513,0.00130513,0.00130513
3,84.2116,2.82477,3.05983,1.29125,0.2923,0.2054,0.12687,0.02981,3.15916,6.62884,1.60291,0.00194555,0.00194555,0.00194555
4,105.844,2.78755,2.61107,1.29618,0.25962,0.21676,0.12181,0.03012,3.05646,4.11504,1.52237,0.0019406,0.0019406,0.0019406
5,127.733,2.73311,2.37986,1.28638,0.26123,0.23444,0.10731,0.0271,3.12798,3.83119,1.49169,0.0019208,0.0019208,0.0019208
6,149.375,2.6867,2.27285,1.28118,0.48025,0.28055,0.22625,0.06853,2.74835,3.89827,1.30913,0.001901,0.001901,0.001901
7,171.115,2.64007,2.17609,1.2602,0.46891,0.26902,0.22858,0.06676,2.85166,3.34321,1.37401,0.0018812,0.0018812,0.0018812
8,192.872,2.61396,2.15891,1.25466,0.53064,0.26057,0.24467,0.06727,2.83284,3.22151,1.32849,0.0018614,0.0018614,0.0018614
9,214.337,2.56963,2.0672,1.23333,0.57159,0.30208,0.27863,0.0871,2.66381,2.8187,1.31498,0.0018416,0.0018416,0.0018416
10,236.011,2.57934,2.06658,1.2398,0.54522,0.31514,0.2532,0.08275,2.64221,2.57808,1.29872,0.0018218,0.0018218,0.0018218
11,257.437,2.52009,2.02789,1.22786,0.55873,0.30361,0.25436,0.06721,2.81958,2.85053,1.36099,0.001802,0.001802,0.001802
12,278.669,2.52591,1.9895,1.2216,0.56978,0.29823,0.28644,0.09297,2.64029,2.58469,1.30984,0.0017822,0.0017822,0.0017822
