epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.117,3.2313,4.32702,1.53865,0.00035,0.02152,1e-05,0,nan,nan,nan,0.000664734,0.000664734,0.000664734
2,306.657,3.17603,3.09602,1.45257,0.18079,0.15219,0.06257,0.01639,3.39373,3.84337,1.61194,0.00131822,0.00131822,0.00131822
3,457.144,3.08167,2.89401,1.41134,0.41523,0.15988,0.09738,0.02595,3.28056,5.68911,1.57374,0.00195851,0.00195851,0.00195851
4,607.674,3.04432,2.81942,1.404,0.33526,0.19523,0.15111,0.04376,3.07798,4.17406,1.46343,0.0019406,0.0019406,0.0019406
5,757.853,2.94259,2.68058,1.37522,0.26499,0.16987,0.12133,0.03245,3.10719,4.73631,1.4454,0.0019208,0.0019208,0.0019208
6,903.507,2.91547,2.57634,1.35584,0.27369,0.25596,0.12636,0.03257,3.02397,3.46418,1.42362,0.001901,0.001901,0.001901
7,1049.34,2.87529,2.48911,1.32282,0.48905,0.23367,0.20028,0.05549,3.00569,3.0895,1.45369,0.0018812,0.0018812,0.0018812
8,1199.34,2.83793,2.45572,1.32218,0.35602,0.24981,0.16674,0.04773,2.92514,3.11711,1.37423,0.0018614,0.0018614,0.0018614
9,1344.73,2.82505,2.41002,1.30719,0.47273,0.30208,0.24266,0.06888,2.88856,2.91797,1.36288,0.0018416,0.0018416,0.0018416
10,1494.95,2.78508,2.35401,1.30246,0.46381,0.28257,0.23382,0.06873,2.87465,2.85381,1.38903,0.0018218,0.0018218,0.0018218
11,1640.61,2.7695,2.33466,1.29036,0.39652,0.28901,0.23393,0.07104,2.75918,3.46495,1.35594,0.001802,0.001802,0.001802
12,1790.5,2.71228,2.29584,1.27634,0.31265,0.24366,0.18603,0.05244,2.90893,2.87258,1.37476,0.0017822,0.0017822,0.0017822
13,1936.45,2.70738,2.23292,1.27007,0.43097,0.26287,0.22137,0.06386,2.8683,3.3783,1.36956,0.0017624,0.0017624,0.0017624
14,2082.1,2.68313,2.20931,1.27069,0.59603,0.32283,0.27666,0.08526,2.78546,2.66642,1.35473,0.0017426,0.0017426,0.0017426
15,2232.76,2.66834,2.16873,1.2594,0.5622,0.29285,0.28527,0.08612,2.78563,2.71007,1.33137,0.0017228,0.0017228,0.0017228
16,2383.1,2.63877,2.15655,1.25007,0.61589,0.32667,0.30827,0.09762,2.72697,2.74037,1.33917,0.001703,0.001703,0.001703
17,2532.91,2.64488,2.15704,1.24787,0.59283,0.32567,0.30261,0.09633,2.69518,2.73475,1.32282,0.0016832,0.0016832,0.0016832
18,2678.36,2.60454,2.10448,1.24129,0.65578,0.35281,0.33581,0.10675,2.70366,2.4661,1.33531,0.0016634,0.0016634,0.0016634
19,2828.46,2.61452,2.1056,1.23594,0.49057,0.30284,0.26246,0.07093,2.75306,2.73303,1.31074,0.0016436,0.0016436,0.0016436
20,2974,2.60646,2.11568,1.23269,0.59525,0.34051,0.3189,0.10371,2.64723,2.53258,1.31884,0.0016238,0.0016238,0.0016238
21,3119.52,2.59427,2.07555,1.22645,0.58973,0.3259,0.30783,0.09588,2.69154,2.55441,1.31493,0.001604,0.001604,0.001604
22,3265.39,2.55298,2.01378,1.22696,0.57634,0.35665,0.32109,0.09958,2.6759,2.61798,1.3119,0.0015842,0.0015842,0.0015842
23,3410.81,2.5732,2.00903,1.22182,0.58297,0.29656,0.30005,0.08842,2.80369,2.59393,1.33819,0.0015644,0.0015644,0.0015644
24,3556.42,2.53096,1.97233,1.21979,0.64985,0.33051,0.32091,0.09477,2.69442,2.57615,1.31112,0.0015446,0.0015446,0.0015446
25,3702.41,2.53164,1.96765,1.21364,0.55878,0.31437,0.30282,0.09736,2.68999,2.59405,1.31101,0.0015248,0.0015248,0.0015248
26,3848.13,2.53594,1.96908,1.21654,0.60817,0.36745,0.33219,0.10566,2.654,2.48478,1.30461,0.001505,0.001505,0.001505
27,3993.95,2.49113,1.902,1.20712,0.53982,0.37817,0.33645,0.11194,2.65724,2.68953,1.29987,0.0014852,0.0014852,0.0014852
28,4144.09,2.50938,1.92114,1.21051,0.63424,0.38278,0.36179,0.1221,2.58907,2.32775,1.29209,0.0014654,0.0014654,0.0014654
29,4294.06,2.47763,1.90558,1.19652,0.58745,0.32398,0.30445,0.09397,2.68854,2.54861,1.30923,0.0014456,0.0014456,0.0014456
30,4439.85,2.49173,1.88337,1.20987,0.5692,0.35357,0.31533,0.10202,2.67548,2.46653,1.3171,0.0014258,0.0014258,0.0014258
31,4585.71,2.48328,1.90465,1.19829,0.58715,0.33897,0.32818,0.10666,2.64659,2.49428,1.29863,0.001406,0.001406,0.001406
32,4731.37,2.45901,1.86823,1.18913,0.59765,0.35851,0.32314,0.09739,2.65193,2.52863,1.29738,0.0013862,0.0013862,0.0013862
33,4876.92,2.47381,1.87553,1.1907,0.57995,0.38278,0.34078,0.11449,2.62232,2.35961,1.30841,0.0013664,0.0013664,0.0013664
34,5022.93,2.44612,1.84057,1.18754,0.58985,0.37363,0.34545,0.11384,2.60055,2.38343,1.29208,0.0013466,0.0013466,0.0013466
35,5168.5,2.44912,1.83709,1.17713,0.60387,0.34896,0.32587,0.10255,2.67475,2.58903,1.31166,0.0013268,0.0013268,0.0013268
36,5314.19,2.44383,1.81132,1.18403,0.5755,0.31745,0.30562,0.09335,2.70006,2.40339,1.31882,0.001307,0.001307,0.001307
37,5460.25,2.41909,1.80052,1.17657,0.64685,0.3651,0.34566,0.11678,2.65853,2.3606,1.316,0.0012872,0.0012872,0.0012872
38,5606.12,2.40154,1.79045,1.17633,0.60177,0.4043,0.37717,0.13015,2.58725,2.34093,1.28526,0.0012674,0.0012674,0.0012674
39,5756.26,2.41151,1.77126,1.17369,0.64779,0.37433,0.36527,0.11752,2.61561,2.29487,1.29649,0.0012476,0.0012476,0.0012476
40,5902.3,2.42177,1.78479,1.17002,0.67092,0.402,0.37218,0.12577,2.58599,2.24491,1.29921,0.0012278,0.0012278,0.0012278
41,6047.83,2.3866,1.76633,1.16743,0.65006,0.38432,0.36994,0.13136,2.57073,2.22674,1.28086,0.001208,0.001208,0.001208
42,6197.98,2.37074,1.71727,1.16844,0.6419,0.39543,0.37823,0.13043,2.55694,2.25633,1.27829,0.0011882,0.0011882,0.0011882
43,6343.82,2.35766,1.73886,1.16384,0.6325,0.36357,0.34094,0.11709,2.59298,2.31035,1.28667,0.0011684,0.0011684,0.0011684
44,6489.67,2.39943,1.74506,1.15733,0.63573,0.4043,0.36489,0.12416,2.57569,2.32871,1.28077,0.0011486,0.0011486,0.0011486
45,6635.42,2.36039,1.70646,1.16471,0.61982,0.402,0.38165,0.12729,2.58617,2.26677,1.29011,0.0011288,0.0011288,0.0011288
46,6781.48,2.36323,1.7013,1.16047,0.64407,0.40584,0.36545,0.12528,2.54967,2.26062,1.28499,0.001109,0.001109,0.001109
47,6927.34,2.36436,1.72348,1.16155,0.6411,0.39047,0.35363,0.11923,2.596,2.27818,1.2876,0.0010892,0.0010892,0.0010892
48,7073.26,2.33444,1.68793,1.15968,0.65317,0.40966,0.38155,0.13363,2.51856,2.1852,1.2644,0.0010694,0.0010694,0.0010694
49,7223.77,2.33387,1.66336,1.15438,0.6453,0.3897,0.36467,0.12597,2.5626,2.25909,1.28365,0.0010496,0.0010496,0.0010496
50,7369.64,2.32045,1.67675,1.15108,0.60146,0.39431,0.3587,0.12038,2.60664,2.26981,1.29653,0.0010298,0.0010298,0.0010298
51,7515.59,2.33345,1.65748,1.14343,0.66581,0.39662,0.36981,0.12554,2.576,2.2067,1.28952,0.00101,0.00101,0.00101
52,7661.8,2.32601,1.6534,1.14713,0.6653,0.38816,0.36404,0.12184,2.59338,2.19897,1.29211,0.0009902,0.0009902,0.0009902
