epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,202.792,2.89858,2.68489,1.37494,0.54648,0.28851,0.22884,0.06226,2.97965,2.59603,1.40609,0.00997101,0.00332367,0.00997101,0.00332367,0.00997101,0.00332367,0.00997101,0.00332367
2,394.614,2.74959,2.24988,1.29997,0.32777,0.27078,0.19219,0.05991,2.88795,4.24377,1.41273,0.0197733,0.0065911,0.0197733,0.0065911,0.0197733,0.0065911,0.0197733,0.0065911
3,575.887,2.85867,2.4361,1.34408,0.25129,0.18613,0.10802,0.02973,3.17608,3.71966,1.52032,0.0293776,0.00979253,0.0293776,0.00979253,0.0293776,0.00979253,0.0293776,0.00979253
4,757.966,2.87262,2.45713,1.34707,0.43979,0.24619,0.17394,0.04423,3.09803,3.58118,1.48487,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,939.253,2.76418,2.28689,1.3115,0.61384,0.29439,0.27063,0.08144,2.83571,2.73881,1.37402,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1122.2,2.68564,2.15675,1.28391,0.58851,0.31384,0.28623,0.08513,2.8235,2.55238,1.39111,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1304.66,2.63264,2.07747,1.26471,0.62986,0.34243,0.32065,0.10552,2.68785,2.55677,1.34671,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1486.9,2.58838,2.01581,1.24693,0.68107,0.35357,0.32603,0.10694,2.72073,2.48057,1.35819,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1669.06,2.56725,1.96604,1.23203,0.63881,0.397,0.34764,0.1089,2.67371,2.32361,1.34347,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1851.31,2.52897,1.90688,1.21725,0.61437,0.379,0.35546,0.11819,2.63398,2.33445,1.31203,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2033.37,2.50347,1.87711,1.20476,0.61479,0.36434,0.34739,0.10781,2.70326,2.51088,1.33063,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2213.83,2.48384,1.84089,1.20617,0.62815,0.38174,0.36456,0.11733,2.67214,2.34665,1.31703,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2394.77,2.47356,1.81494,1.19657,0.6472,0.40277,0.36161,0.11328,2.65377,2.22061,1.323,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2575.37,2.42277,1.75514,1.19409,0.70627,0.41353,0.40914,0.13641,2.58399,2.17242,1.29047,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2757.45,2.42717,1.75235,1.18387,0.6811,0.40968,0.3825,0.12738,2.62086,2.13659,1.30906,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2938.24,2.40952,1.73227,1.18403,0.62071,0.43837,0.39448,0.13248,2.56644,2.15921,1.29959,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3118.47,2.4083,1.72193,1.17828,0.60131,0.41814,0.36644,0.12216,2.55607,2.16901,1.28279,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3298.97,2.39481,1.69938,1.17146,0.67964,0.44844,0.41353,0.13894,2.55027,2.07698,1.29006,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3480.71,2.3742,1.67432,1.16725,0.66158,0.41998,0.3959,0.12529,2.67605,2.11412,1.32979,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3660.96,2.35842,1.65973,1.16379,0.68685,0.43659,0.39782,0.13495,2.53979,2.10033,1.27589,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3841.29,2.33449,1.64203,1.1605,0.67591,0.42,0.41554,0.13695,2.5521,2.06331,1.29213,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4021.65,2.32379,1.59776,1.1572,0.64241,0.45696,0.40011,0.13077,2.56413,2.05691,1.28292,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4202.04,2.32544,1.61855,1.15081,0.62471,0.4395,0.42203,0.13781,2.56935,2.04888,1.29312,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4382.44,2.30868,1.58268,1.15129,0.68998,0.45888,0.40653,0.12899,2.53447,2.01169,1.28452,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4562.81,2.29422,1.57242,1.1451,0.68325,0.45734,0.40936,0.137,2.50714,1.95863,1.27254,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4743.2,2.2892,1.56391,1.13646,0.68786,0.46349,0.42806,0.14464,2.52534,1.96564,1.30574,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4924.95,2.27355,1.55904,1.13944,0.69174,0.45811,0.42031,0.14075,2.50912,1.97724,1.28619,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5105.27,2.26378,1.53528,1.13809,0.70376,0.44735,0.43337,0.13875,2.55856,1.96036,1.29677,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5285.57,2.25383,1.51671,1.12595,0.68471,0.46656,0.43296,0.14349,2.56038,1.96712,1.29668,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5465.98,2.23308,1.50466,1.13044,0.67359,0.46426,0.41657,0.13584,2.55789,1.96917,1.30148,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5646.43,2.2182,1.48128,1.12332,0.65136,0.46464,0.42612,0.14507,2.53161,1.93996,1.28772,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5828.19,2.2191,1.48442,1.12056,0.67335,0.43257,0.41199,0.14111,2.50573,2.0118,1.27789,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6008.54,2.19687,1.45289,1.11515,0.68164,0.44435,0.41599,0.13801,2.55149,1.90683,1.29953,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6189,2.1917,1.45297,1.11846,0.67213,0.47348,0.43381,0.14649,2.53393,1.87126,1.29642,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6370.93,2.18356,1.43338,1.11076,0.68623,0.46503,0.43597,0.14301,2.59287,1.87733,1.31298,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6551.25,2.1704,1.44245,1.10794,0.63722,0.46349,0.40722,0.13783,2.55213,1.90205,1.29799,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6731.64,2.16365,1.4139,1.09999,0.66091,0.4749,0.42568,0.14318,2.5429,1.8874,1.29849,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6912.11,2.16086,1.40056,1.09439,0.68203,0.48002,0.44606,0.14766,2.52009,1.86797,1.28639,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7093.93,2.1366,1.38405,1.09693,0.65216,0.47079,0.43845,0.15117,2.50457,1.89911,1.28026,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7275.88,2.1034,1.34317,1.0919,0.66737,0.46426,0.43081,0.14599,2.53873,1.87713,1.29956,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7456.29,2.12211,1.35978,1.09517,0.65703,0.48271,0.43706,0.14761,2.52875,1.83435,1.29718,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7636.75,2.11532,1.35461,1.08713,0.63635,0.47233,0.42461,0.1412,2.51593,1.85872,1.29076,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7817.15,2.09892,1.34781,1.08331,0.65588,0.48424,0.44469,0.1566,2.51498,1.81043,1.2938,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7999.04,2.07424,1.30778,1.07677,0.66103,0.49308,0.44448,0.15099,2.55436,1.8435,1.31313,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8179.44,2.07655,1.32229,1.07852,0.67875,0.4854,0.45214,0.15531,2.5338,1.81475,1.29885,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8359.98,2.06436,1.29716,1.07462,0.6727,0.47733,0.44991,0.151,2.53385,1.82017,1.29891,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8540.49,2.05373,1.28435,1.07054,0.64008,0.47963,0.43791,0.14788,2.55092,1.80351,1.30557,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8720.94,2.04484,1.28228,1.06638,0.67911,0.47579,0.43086,0.14764,2.53754,1.79336,1.30551,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8901.36,2.03227,1.27253,1.06616,0.69717,0.47954,0.44825,0.15508,2.5262,1.77646,1.30398,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9081.71,2.02574,1.26041,1.06677,0.66552,0.48847,0.44491,0.15428,2.54219,1.78813,1.3043,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9262.08,2.00904,1.23699,1.05349,0.68321,0.4854,0.42702,0.14855,2.54181,1.77437,1.30872,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9442.51,1.98369,1.23649,1.05303,0.7063,0.47925,0.43656,0.15118,2.53673,1.7642,1.31399,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9622.8,1.984,1.22696,1.05138,0.69661,0.46857,0.42685,0.14769,2.54021,1.79711,1.31226,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9803.18,1.97133,1.20107,1.04525,0.69152,0.47298,0.45106,0.1546,2.55259,1.76931,1.32285,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9983.6,1.9565,1.20838,1.04168,0.68398,0.48962,0.45602,0.15854,2.56736,1.74707,1.3263,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10165.7,1.95174,1.20329,1.04036,0.71678,0.48923,0.45863,0.15892,2.56138,1.72498,1.3262,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10347.6,1.93937,1.1972,1.03917,0.71044,0.49039,0.45283,0.15398,2.57219,1.75064,1.33574,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10527.9,1.92187,1.17521,1.02903,0.71651,0.47194,0.44732,0.15143,2.56801,1.75546,1.33095,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10708.3,1.9062,1.16774,1.0258,0.6862,0.47886,0.44632,0.15016,2.5726,1.77815,1.33458,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10888.7,1.90901,1.15331,1.02674,0.67646,0.46123,0.44091,0.14793,2.58436,1.79217,1.34402,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11069,1.88791,1.15558,1.02288,0.67219,0.46541,0.43667,0.14909,2.57537,1.79322,1.33828,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11249.5,1.86623,1.1303,1.02042,0.6714,0.48347,0.43928,0.14793,2.58649,1.77513,1.34787,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11429.8,1.84921,1.12551,1.01461,0.68565,0.46695,0.43942,0.14744,2.58987,1.76673,1.34784,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
