epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,403.576,2.84895,3.03378,1.36669,0.51515,0.29516,0.25551,0.06611,3.05387,3.11152,1.45659,0.00998551,0.0033285,0.00998551,0.0033285,0.00998551,0.0033285,0.00998551,0.0033285
2,754.692,2.81017,2.30941,1.3238,0.43891,0.28401,0.2338,0.06534,3.00896,3.45021,1.42484,0.0197877,0.00659588,0.0197877,0.00659588,0.0197877,0.00659588,0.0197877,0.00659588
3,1082.89,2.92106,2.54329,1.36283,0.47591,0.24046,0.2004,0.05678,2.98966,4.50906,1.4598,0.0293918,0.00979726,0.0293918,0.00979726,0.0293918,0.00979726,0.0293918,0.00979726
4,1404.84,2.87839,2.49016,1.34703,0.32025,0.22905,0.16694,0.04573,2.88267,11.8666,1.37878,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1726.03,2.77772,2.33151,1.31505,0.6005,0.29977,0.2748,0.08565,2.86479,2.67748,1.37966,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2050.25,2.705,2.20209,1.28073,0.61347,0.33859,0.32068,0.10117,2.79063,2.609,1.35775,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2374.43,2.66202,2.15359,1.26803,0.5551,0.35148,0.31719,0.10084,2.7362,2.63367,1.33232,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2694.87,2.60932,2.04489,1.25224,0.62601,0.33128,0.31638,0.1044,2.71708,2.83259,1.31855,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3018.65,2.57114,1.99506,1.22906,0.62685,0.3505,0.32697,0.105,2.71696,2.42569,1.31678,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3342.58,2.55052,1.94301,1.22611,0.65342,0.35972,0.35423,0.11358,2.64604,2.68944,1.2802,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3666.81,2.51898,1.90053,1.22485,0.66,0.36318,0.35495,0.1185,2.63583,2.39878,1.29057,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3990.95,2.50609,1.85837,1.19924,0.6032,0.3774,0.33423,0.10882,2.71357,2.39299,1.34669,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4312.01,2.47649,1.85328,1.19945,0.62736,0.39016,0.38326,0.13036,2.61389,2.38483,1.29291,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4635.94,2.46909,1.83631,1.20113,0.65865,0.4166,0.39864,0.1249,2.5953,2.3835,1.29129,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4956.84,2.43651,1.80379,1.18521,0.65134,0.41737,0.3961,0.12706,2.60155,2.24474,1.27391,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5278.3,2.43405,1.77423,1.18509,0.66929,0.39739,0.3856,0.12603,2.60804,2.25107,1.28422,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5599.26,2.40317,1.73972,1.17534,0.64719,0.42083,0.39073,0.12678,2.6373,2.25671,1.306,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5919.98,2.40623,1.71859,1.17249,0.63328,0.43851,0.39933,0.13384,2.57963,2.23473,1.27024,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6244.29,2.3754,1.69488,1.16296,0.68758,0.4339,0.39178,0.12914,2.62654,2.19287,1.28317,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6564.81,2.35712,1.66696,1.15615,0.67737,0.42659,0.40974,0.13495,2.60422,2.28016,1.29698,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6888.74,2.3671,1.6684,1.16018,0.66883,0.42237,0.40615,0.13267,2.58937,2.17288,1.28278,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7210.28,2.34325,1.64513,1.15314,0.64864,0.43704,0.39237,0.13176,2.58076,2.17279,1.26792,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7531.6,2.34503,1.63668,1.15389,0.70068,0.46656,0.44434,0.14792,2.57074,2.09156,1.26903,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7855.81,2.32005,1.61384,1.154,0.70129,0.44043,0.4244,0.1444,2.56671,2.12372,1.2727,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8177.23,2.30851,1.60028,1.14851,0.69961,0.44665,0.42282,0.1403,2.54589,2.064,1.27847,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8498.12,2.30553,1.5864,1.14249,0.68989,0.43928,0.4076,0.1408,2.55729,2.10434,1.28495,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8819.29,2.29377,1.56125,1.13702,0.68576,0.46503,0.44914,0.14921,2.55273,2.04812,1.26851,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9143.85,2.27651,1.55528,1.13366,0.68389,0.45311,0.42653,0.14066,2.5548,2.08061,1.27853,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9465.04,2.26172,1.53987,1.12445,0.70784,0.45158,0.43111,0.14346,2.55518,2.0544,1.27751,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9785.87,2.2584,1.51557,1.13212,0.68128,0.47502,0.43262,0.1414,2.56099,2.07743,1.26008,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10107.1,2.24362,1.50128,1.12301,0.67041,0.45657,0.42873,0.14451,2.5415,2.06328,1.26666,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10428,2.24817,1.5243,1.12666,0.7007,0.46695,0.4453,0.15373,2.49662,1.94431,1.24112,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10752.3,2.21539,1.47686,1.11754,0.69029,0.46887,0.44999,0.15246,2.49274,1.92532,1.24564,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
