epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,803.53,3.32,3.42549,1.5199,0.16024,0.2134,0.07089,0.01747,3.33628,4.03973,1.54164,0.000666184,0.000666184,0.000666184
2,1603.58,3.23236,3.22709,1.45458,0.25344,0.20753,0.11773,0.03337,2.99995,3.37395,1.40265,0.00131966,0.00131966,0.00131966
3,2402.96,3.17926,3.11525,1.4155,0.19523,0.21906,0.08528,0.02293,3.02769,3.64209,1.39409,0.00195993,0.00195993,0.00195993
4,3200.11,3.13161,3.03615,1.38904,0.16152,0.20523,0.0727,0.01842,2.99434,3.95477,1.41196,0.0019406,0.0019406,0.0019406
5,3997.19,3.0987,2.94702,1.3929,0.32585,0.23905,0.15998,0.04485,2.97467,3.61877,1.35649,0.0019208,0.0019208,0.0019208
6,4796.32,3.03881,2.80082,1.36562,0.21543,0.16833,0.08819,0.02448,2.95313,3.64432,1.33046,0.001901,0.001901,0.001901
7,5593.72,2.97954,2.75298,1.33421,0.34946,0.23751,0.18655,0.05652,2.90826,3.1165,1.3744,0.0018812,0.0018812,0.0018812
8,6392.88,2.96375,2.7133,1.33916,0.27605,0.2475,0.15203,0.04342,2.91579,3.21568,1.36693,0.0018614,0.0018614,0.0018614
9,7190.22,2.97136,2.63214,1.32216,0.30507,0.25211,0.15975,0.0501,2.92774,3.17644,1.39024,0.0018416,0.0018416,0.0018416
10,7987.6,2.9048,2.63906,1.31769,0.36287,0.22675,0.18703,0.05497,2.92763,3.22319,1.34097,0.0018218,0.0018218,0.0018218
11,8785.38,2.90773,2.58606,1.31798,0.38239,0.2598,0.2078,0.06669,2.79742,3.16173,1.31429,0.001802,0.001802,0.001802
12,9584.56,2.8641,2.52354,1.30141,0.42255,0.30361,0.21189,0.06328,2.77531,2.93268,1.31022,0.0017822,0.0017822,0.0017822
13,10381.7,2.82017,2.4824,1.29113,0.5164,0.3259,0.267,0.07721,2.75733,2.93435,1.32559,0.0017624,0.0017624,0.0017624
14,11180.9,2.81604,2.46444,1.28477,0.42854,0.31899,0.26404,0.07645,2.80321,3.13012,1.35068,0.0017426,0.0017426,0.0017426
15,11977.9,2.79186,2.42562,1.27368,0.47264,0.35271,0.27415,0.0899,2.70636,2.824,1.28991,0.0017228,0.0017228,0.0017228
16,12777,2.77276,2.38552,1.27448,0.43767,0.33974,0.28091,0.09086,2.7457,2.95064,1.29889,0.001703,0.001703,0.001703
17,13576.1,2.75619,2.3712,1.25913,0.5474,0.29285,0.27018,0.08059,2.76681,2.89649,1.29007,0.0016832,0.0016832,0.0016832
18,14373.2,2.74839,2.37581,1.27253,0.55317,0.29439,0.28641,0.0917,2.76501,2.83731,1.31672,0.0016634,0.0016634,0.0016634
19,15172.3,2.74622,2.36631,1.26377,0.56075,0.30746,0.27401,0.08578,2.79312,2.84149,1.32484,0.0016436,0.0016436,0.0016436
20,15969.5,2.72309,2.34401,1.25714,0.49863,0.3524,0.29034,0.09326,2.74877,2.68619,1.31477,0.0016238,0.0016238,0.0016238
21,16769,2.71074,2.26465,1.23824,0.57785,0.33142,0.29436,0.09456,2.77497,2.80521,1.30789,0.001604,0.001604,0.001604
22,17568.4,2.72748,2.33333,1.26627,0.49224,0.3382,0.28998,0.09716,2.69352,2.89014,1.29116,0.0015842,0.0015842,0.0015842
