epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.925,3.29024,3.37631,1.51075,0.09994,0.14201,0.04268,0.0105,3.20356,3.82949,1.53686,0.000666184,0.000666184,0.000666184
2,1303.48,3.20884,3.19071,1.46423,0.13471,0.1814,0.06084,0.0172,3.17332,3.65001,1.42633,0.00131966,0.00131966,0.00131966
3,1954.01,3.14587,3.09949,1.41059,0.20016,0.22752,0.11013,0.02892,3.05794,3.44612,1.42795,0.00195993,0.00195993,0.00195993
4,2604.69,3.09669,3.02367,1.37919,0.18271,0.24596,0.11069,0.0319,2.96241,3.45559,1.37175,0.0019406,0.0019406,0.0019406
5,3254.89,3.05135,2.90141,1.37423,0.24388,0.25288,0.14454,0.03941,2.95381,3.39064,1.36567,0.0019208,0.0019208,0.0019208
6,3904.87,2.99181,2.78099,1.34295,0.20027,0.21445,0.11879,0.03169,2.95375,3.28666,1.37745,0.001901,0.001901,0.001901
7,4553.54,2.95841,2.72937,1.32996,0.29073,0.26595,0.17922,0.05243,2.89801,3.36857,1.34381,0.0018812,0.0018812,0.0018812
8,5203.28,2.91926,2.6502,1.31592,0.31852,0.22059,0.15855,0.04471,2.93767,3.15373,1.36387,0.0018614,0.0018614,0.0018614
9,5851.31,2.90341,2.59539,1.29865,0.41196,0.2744,0.21109,0.05687,2.86138,2.97456,1.35852,0.0018416,0.0018416,0.0018416
10,6501.22,2.85806,2.58076,1.30889,0.35179,0.26364,0.18312,0.05133,2.91705,3.12047,1.35794,0.0018218,0.0018218,0.0018218
11,7149.78,2.85882,2.54469,1.30148,0.48013,0.27517,0.23925,0.07168,2.82477,2.97074,1.32986,0.001802,0.001802,0.001802
12,7799.54,2.8095,2.4887,1.2773,0.45684,0.31514,0.25309,0.08098,2.73992,2.98864,1.29624,0.0017822,0.0017822,0.0017822
