epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.885,3.15617,5.42832,1.47059,0.2698,0.24112,0.10788,0.02929,2.9682,3.90649,1.43274,0.0006657,0.0006657,0.0006657
2,484.987,3.09825,2.86456,1.43444,0.2972,0.22444,0.144,0.03961,2.96063,3.15696,1.49044,0.00131918,0.00131918,0.00131918
3,728.54,3.00346,2.75203,1.38063,0.33165,0.23367,0.15852,0.04457,3.05966,3.74746,1.39609,0.00195945,0.00195945,0.00195945
4,972.519,2.93976,2.65544,1.35414,0.3243,0.27748,0.19021,0.05806,2.8258,3.37689,1.36137,0.0019406,0.0019406,0.0019406
5,1216.59,2.88952,2.54128,1.34526,0.29219,0.23059,0.16086,0.04683,2.84456,3.20397,1.34646,0.0019208,0.0019208,0.0019208
6,1460.06,2.83862,2.50359,1.3367,0.43422,0.28138,0.2201,0.06543,2.82035,3.00473,1.36768,0.001901,0.001901,0.001901
7,1704.25,2.81082,2.39911,1.30351,0.50298,0.30746,0.25963,0.07796,2.73457,2.85679,1.34622,0.0018812,0.0018812,0.0018812
8,1948.27,2.74047,2.36021,1.30232,0.5315,0.29208,0.26145,0.07767,2.74605,2.83928,1.33386,0.0018614,0.0018614,0.0018614
9,2191.52,2.74529,2.32985,1.28306,0.56675,0.34973,0.3153,0.09729,2.73885,2.66577,1.33253,0.0018416,0.0018416,0.0018416
10,2435.62,2.70023,2.30385,1.2709,0.49191,0.34589,0.28591,0.09196,2.66852,2.82799,1.29154,0.0018218,0.0018218,0.0018218
11,2679.14,2.71726,2.26396,1.28153,0.49437,0.30054,0.26928,0.0865,2.65596,2.85954,1.31737,0.001802,0.001802,0.001802
12,2922.72,2.65212,2.20994,1.2511,0.56173,0.34589,0.30135,0.09733,2.66437,2.59091,1.30856,0.0017822,0.0017822,0.0017822
13,3166.86,2.63379,2.18432,1.24879,0.49884,0.34204,0.28058,0.08913,2.68674,2.79656,1.30866,0.0017624,0.0017624,0.0017624
14,3410.29,2.59864,2.12651,1.24039,0.57896,0.34561,0.3162,0.10994,2.62509,2.5989,1.28589,0.0017426,0.0017426,0.0017426
15,3654.63,2.58956,2.09124,1.23317,0.58986,0.34204,0.32147,0.10488,2.61519,2.62209,1.27204,0.0017228,0.0017228,0.0017228
16,3898.13,2.58083,2.06729,1.2351,0.64197,0.34869,0.33151,0.11248,2.62043,2.63473,1.27933,0.001703,0.001703,0.001703
17,4142.44,2.58671,2.09499,1.22219,0.57478,0.32283,0.30163,0.09652,2.63421,2.6274,1.27932,0.0016832,0.0016832,0.0016832
18,4385.98,2.56611,2.07037,1.22578,0.58879,0.36587,0.33638,0.11306,2.6403,2.51186,1.28502,0.0016634,0.0016634,0.0016634
19,4630.12,2.56404,2.03808,1.23117,0.60613,0.34973,0.34671,0.11145,2.62829,2.50871,1.28651,0.0016436,0.0016436,0.0016436
20,4873.76,2.57275,2.06501,1.21613,0.58645,0.36741,0.35001,0.11546,2.61349,2.5961,1.27533,0.0016238,0.0016238,0.0016238
21,5117.85,2.53237,2.02112,1.20024,0.57739,0.38663,0.34589,0.11281,2.65565,2.54209,1.28315,0.001604,0.001604,0.001604
22,5361.23,2.52693,2.02924,1.22338,0.61993,0.36741,0.34904,0.11901,2.59844,2.53531,1.26366,0.0015842,0.0015842,0.0015842
