epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,288.5,2.79315,2.63834,1.33975,0.51812,0.29407,0.24123,0.06397,2.90078,3.75556,1.37634,0.00997101,0.00332367,0.00997101,0.00332367,0.00997101,0.00332367,0.00997101,0.00332367
2,570.768,2.63088,2.03167,1.24933,0.49624,0.3457,0.29822,0.08723,2.76828,3.67072,1.36336,0.0197733,0.0065911,0.0197733,0.0065911,0.0197733,0.0065911,0.0197733,0.0065911
3,852.477,2.7352,2.23142,1.30314,0.20242,0.15985,0.08894,0.02363,3.13535,8.23825,1.55013,0.0293776,0.00979253,0.0293776,0.00979253,0.0293776,0.00979253,0.0293776,0.00979253
4,1130.94,2.70463,2.21893,1.30473,0.48775,0.32467,0.25464,0.0758,2.82845,3.05072,1.39661,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1408.54,2.59992,2.02868,1.25622,0.61814,0.37342,0.33888,0.10541,2.64799,2.39208,1.32335,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1687.35,2.51548,1.90959,1.23061,0.61132,0.35564,0.32189,0.09839,2.72218,2.49029,1.34883,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1964.86,2.48363,1.8541,1.21748,0.67136,0.39732,0.3688,0.11943,2.59182,2.18054,1.30706,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2243.62,2.44494,1.79384,1.20419,0.56653,0.42308,0.32903,0.10566,2.59239,2.44825,1.3179,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2521.01,2.42106,1.74515,1.19184,0.65684,0.43671,0.40409,0.13406,2.52846,2.12922,1.29148,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2799.69,2.4018,1.71021,1.18516,0.70503,0.43384,0.41652,0.14185,2.51215,2.06277,1.29146,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3078.38,2.37038,1.67543,1.17386,0.65937,0.4499,0.42575,0.1432,2.49855,2.08976,1.28278,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3356.83,2.35499,1.64157,1.16887,0.74053,0.43862,0.42916,0.14607,2.52569,1.98167,1.28808,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3635.52,2.3378,1.62514,1.16309,0.64209,0.45258,0.4127,0.13997,2.50492,2.04979,1.27904,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3913.29,2.32582,1.61318,1.15829,0.66883,0.46802,0.43712,0.1501,2.49086,1.94596,1.28213,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4195.1,2.30621,1.5959,1.15541,0.70316,0.474,0.44352,0.1519,2.5244,1.91375,1.2853,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4474.23,2.29826,1.57091,1.15156,0.69668,0.47266,0.45204,0.16078,2.46058,1.87964,1.26999,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4753.78,2.27642,1.54662,1.14736,0.68634,0.48298,0.45061,0.15768,2.45107,1.85755,1.25552,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5031.88,2.27141,1.53772,1.14043,0.70369,0.4795,0.4502,0.16167,2.44012,1.83999,1.25621,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5310.79,2.24948,1.50684,1.13607,0.67134,0.47438,0.45082,0.15988,2.42778,1.88211,1.25864,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5588.38,2.23898,1.50303,1.13307,0.68284,0.49426,0.46577,0.16665,2.42759,1.84019,1.25775,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5867.23,2.24177,1.50608,1.1329,0.70069,0.49637,0.45188,0.15841,2.43112,1.81216,1.26129,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6144.92,2.22545,1.48247,1.12436,0.68888,0.50459,0.48275,0.17174,2.43258,1.74872,1.25814,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6424.53,2.21547,1.46728,1.12458,0.70431,0.50115,0.47322,0.17053,2.42821,1.7509,1.25941,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6708.2,2.20118,1.45385,1.12267,0.69707,0.51644,0.48156,0.17491,2.41273,1.74766,1.2526,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6986.88,2.1819,1.43581,1.11407,0.6982,0.50784,0.46829,0.1712,2.41116,1.73461,1.25144,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7264.24,2.18051,1.42091,1.11109,0.70286,0.51786,0.47727,0.17444,2.39808,1.71096,1.24884,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7541.94,2.16656,1.40046,1.1076,0.66553,0.5044,0.46834,0.17258,2.40823,1.73203,1.25165,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7819.61,2.15489,1.3855,1.10451,0.71457,0.52371,0.49052,0.18027,2.41138,1.6902,1.25063,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8098.32,2.15019,1.36511,1.10228,0.71796,0.52141,0.49145,0.1826,2.40486,1.67862,1.24658,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8377.02,2.13649,1.35029,1.09927,0.72704,0.50994,0.48979,0.18072,2.43505,1.69555,1.26157,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8654.4,2.13257,1.35505,1.10369,0.71394,0.51702,0.48988,0.18182,2.43284,1.66392,1.26055,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8931.79,2.1114,1.32474,1.09469,0.72113,0.51818,0.49557,0.1816,2.42721,1.63867,1.25784,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9208.99,2.10745,1.3218,1.0895,0.71611,0.52505,0.49222,0.17961,2.41646,1.66037,1.25199,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9486.3,2.09769,1.31949,1.08868,0.71772,0.51415,0.49045,0.18474,2.40726,1.63937,1.25559,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9764.69,2.08165,1.29407,1.08332,0.70772,0.52084,0.49544,0.18513,2.41036,1.64033,1.25759,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10043.3,2.07996,1.29182,1.07957,0.67239,0.52783,0.4856,0.18241,2.40953,1.64363,1.2539,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10320.5,2.06799,1.27665,1.08013,0.70122,0.52906,0.49171,0.18367,2.42171,1.61905,1.25552,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10597.7,2.0496,1.25963,1.07354,0.71944,0.53002,0.50076,0.1887,2.41006,1.59568,1.2515,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10875.9,2.04347,1.25622,1.06938,0.71316,0.52958,0.50038,0.1888,2.41032,1.58814,1.25157,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11154,2.04025,1.26084,1.07204,0.70986,0.53327,0.50088,0.18804,2.41183,1.58885,1.25098,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11431.3,2.02788,1.24472,1.06455,0.71417,0.53556,0.50217,0.18795,2.41077,1.59283,1.25088,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11708.4,2.01406,1.23325,1.06274,0.71207,0.53518,0.50125,0.18814,2.40815,1.5848,1.2504,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11985.6,2.00739,1.22114,1.05972,0.71343,0.53217,0.50147,0.18832,2.41469,1.58123,1.2529,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12263,2.00076,1.21318,1.05942,0.71359,0.53116,0.50183,0.18835,2.41536,1.58319,1.25404,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12540.3,1.99888,1.21544,1.05671,0.71009,0.53201,0.50488,0.18886,2.41493,1.5809,1.25339,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12818.8,1.97853,1.19313,1.0512,0.70473,0.53423,0.50382,0.18849,2.41232,1.58037,1.25324,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13096,1.96335,1.18354,1.04812,0.70231,0.53384,0.50261,0.18857,2.41515,1.58296,1.25584,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13373.1,1.96871,1.18115,1.04702,0.70242,0.53573,0.50361,0.18813,2.41535,1.58311,1.25722,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13650.2,1.95235,1.17621,1.03846,0.70349,0.53576,0.50353,0.18798,2.41681,1.58454,1.25748,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13927.2,1.94462,1.16775,1.0395,0.70289,0.53595,0.50302,0.18781,2.41689,1.58305,1.25783,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14204.2,1.92821,1.15401,1.03575,0.7012,0.53614,0.50311,0.18774,2.4186,1.58272,1.25868,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14481.5,1.92028,1.14564,1.0325,0.70085,0.53556,0.50431,0.18751,2.42152,1.58272,1.26024,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14758.6,1.89896,1.13081,1.0284,0.7009,0.53633,0.50447,0.18757,2.42202,1.58017,1.2609,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15035.8,1.90205,1.13922,1.0302,0.70058,0.53671,0.50555,0.18764,2.42428,1.57906,1.26191,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15313.1,1.89295,1.11601,1.02632,0.69956,0.53671,0.50515,0.18762,2.42447,1.58009,1.26235,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15590.5,1.87673,1.10993,1.02657,0.70093,0.53417,0.50491,0.18733,2.42621,1.58116,1.26294,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,15867.7,1.86734,1.1078,1.01654,0.70275,0.53346,0.50631,0.18725,2.42699,1.57961,1.26373,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,16144.5,1.85809,1.09921,1.01443,0.70398,0.53327,0.50745,0.18721,2.4301,1.57996,1.26536,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,16421.8,1.84755,1.09074,1.0105,0.70709,0.53357,0.50733,0.18717,2.43104,1.57754,1.26646,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,16699,1.84461,1.08301,1.01079,0.70711,0.53442,0.50784,0.18696,2.43357,1.57746,1.26796,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,16976.4,1.82486,1.07136,1.00536,0.70773,0.5357,0.50844,0.18666,2.43579,1.57904,1.26984,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,17253.6,1.81253,1.06514,1.00187,0.70986,0.53518,0.50809,0.18652,2.43759,1.57939,1.27119,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,17530.6,1.80221,1.05766,1.00115,0.71126,0.5348,0.5077,0.1861,2.43955,1.57994,1.27249,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17807.6,1.80075,1.05667,0.9994,0.7092,0.53531,0.50799,0.18626,2.44181,1.57999,1.27383,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,18084.7,1.78672,1.03875,0.99743,0.70566,0.53442,0.50646,0.1859,2.44313,1.58172,1.27501,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,18361.8,1.7799,1.03751,0.98862,0.70716,0.53515,0.50769,0.18596,2.44532,1.58126,1.27575,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,18638.9,1.76047,1.02446,0.98686,0.70571,0.5348,0.5084,0.18531,2.44811,1.58258,1.27715,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18915.8,1.74767,1.02033,0.98774,0.7032,0.53365,0.50605,0.18513,2.44975,1.58458,1.27856,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
