epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.85,3.0218,4.41969,1.42607,0.51655,0.29828,0.24613,0.06764,2.83438,2.83704,1.39081,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,194.741,2.65661,2.21585,1.24596,0.33781,0.17859,0.12695,0.0314,3.33079,5.36549,1.57081,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159
3,280.929,2.70005,2.20601,1.26225,0.22556,0.16998,0.09307,0.02328,3.10485,4.59462,1.50658,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311
4,368.196,2.6877,2.19313,1.27039,0.11474,0.29885,0.05826,0.01874,2.84896,6.00874,1.41895,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,454.061,2.60269,2.03247,1.25014,0.25145,0.24379,0.11826,0.03286,3.13968,3.14592,1.48482,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,540.372,2.55082,1.95371,1.23176,0.38621,0.32099,0.20585,0.05972,2.7329,2.97043,1.33867,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,626.711,2.51983,1.91627,1.22382,0.46851,0.31874,0.26368,0.08201,2.74074,2.63993,1.35619,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,712.216,2.48677,1.85965,1.20342,0.66566,0.36424,0.37054,0.12304,2.55119,2.18428,1.26153,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,797.827,2.46719,1.83194,1.19558,0.70141,0.39235,0.36847,0.11655,2.58772,2.11066,1.30177,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,883.572,2.44568,1.80844,1.19444,0.65919,0.39771,0.38665,0.1257,2.51734,2.16281,1.27033,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,969.977,2.43772,1.78764,1.18746,0.6036,0.39887,0.37006,0.11423,2.5404,2.29173,1.29713,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1055.5,2.41256,1.7434,1.18141,0.7093,0.41797,0.40801,0.13758,2.507,1.94696,1.28093,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1141.43,2.40684,1.7254,1.17414,0.67601,0.42129,0.39827,0.1359,2.45359,1.95962,1.25285,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1226.97,2.39187,1.71594,1.17231,0.68067,0.41262,0.38486,0.13006,2.5111,2.04416,1.26858,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1312.48,2.3878,1.71545,1.17304,0.69521,0.41033,0.40949,0.13763,2.4736,1.93187,1.25032,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
