epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,152.214,2.9744,7.38107,1.41097,0.57651,0.31874,0.28076,0.0813,2.62001,2.57378,1.25625,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407,0.0099422,0.00331407
2,285.623,2.58578,1.99944,1.2185,0.57324,0.32079,0.28469,0.08291,2.67813,3.8905,1.32456,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159,0.0197448,0.00658159
3,418.753,2.6395,2.08362,1.24739,0.09939,0.12696,0.03007,0.0065,3.46701,13.0023,1.8972,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311,0.0293493,0.00978311
4,550.605,2.64859,2.10123,1.26343,0.49434,0.3304,0.26375,0.07322,2.72776,3.00421,1.33901,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,681.962,2.56372,1.9475,1.23647,0.66152,0.37973,0.36353,0.11767,2.51887,2.26552,1.29854,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,813.713,2.50852,1.86648,1.21642,0.43177,0.39561,0.25462,0.07919,2.55094,2.45986,1.30439,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,945.52,2.47263,1.817,1.20464,0.61746,0.38623,0.35986,0.11311,2.58207,2.14269,1.30442,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1076.78,2.4392,1.76419,1.19088,0.68577,0.40306,0.40585,0.13241,2.51863,1.99636,1.28944,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1208.26,2.41966,1.73497,1.18092,0.59772,0.41472,0.37788,0.13014,2.52109,2.14356,1.29163,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1339.07,2.3986,1.70071,1.18012,0.61788,0.43289,0.39592,0.12844,2.4832,2.02643,1.26365,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1469.94,2.38314,1.68903,1.17137,0.57484,0.43805,0.37921,0.11697,2.54017,2.02781,1.2903,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1601.11,2.36165,1.64304,1.16407,0.66882,0.44379,0.42933,0.138,2.50628,1.9127,1.27491,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1732.72,2.35001,1.62022,1.1583,0.59928,0.43901,0.39191,0.13295,2.45135,1.9389,1.25119,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1863.76,2.3371,1.61764,1.1597,0.70174,0.45564,0.4141,0.1456,2.42823,1.85879,1.24106,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1995.16,2.32251,1.59881,1.15074,0.67307,0.44551,0.43493,0.1487,2.44551,1.80126,1.25081,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2126.33,2.30626,1.57798,1.15384,0.69047,0.45736,0.42707,0.14819,2.45089,1.77708,1.26051,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2257.39,2.3016,1.55168,1.14912,0.73934,0.46967,0.44715,0.15455,2.42361,1.82842,1.24078,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2388.89,2.28525,1.52648,1.14231,0.71773,0.45277,0.44511,0.15889,2.37877,1.75648,1.23744,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2520.25,2.27578,1.52748,1.13968,0.69399,0.46398,0.43694,0.15036,2.41334,1.78764,1.24783,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2650.93,2.26048,1.5103,1.13781,0.67777,0.47151,0.43841,0.15427,2.44325,1.73669,1.25111,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2781.48,2.26644,1.50774,1.13494,0.59581,0.48309,0.43668,0.15361,2.43195,1.80303,1.25084,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
